occupation_group,skill,year,count,n_postings,pct
Administrative & Support,APIs,2022,1,594,0.1684
Administrative & Support,AWS,2022,1,594,0.1684
Administrative & Support,Academic Advising,2022,5,594,0.8418
Administrative & Support,Accounting,2022,34,594,5.7239
Administrative & Support,Accounts Payable,2022,8,594,1.3468
Administrative & Support,Accounts Receivable,2022,3,594,0.5051
Administrative & Support,Active Listening,2022,1,594,0.1684
Administrative & Support,Adaptability,2022,205,594,34.5118
Administrative & Support,Adobe Creative Suite,2022,5,594,0.8418
Administrative & Support,Agile,2022,2,594,0.3367
Administrative & Support,Artificial Intelligence,2022,3,594,0.5051
Administrative & Support,Asana,2022,4,594,0.6734
Administrative & Support,Auditing,2022,4,594,0.6734
Administrative & Support,AutoCAD,2022,12,594,2.0202
Administrative & Support,Big Data,2022,2,594,0.3367
Administrative & Support,Bilingual,2022,25,594,4.2088
Administrative & Support,Bloomberg Terminal,2022,4,594,0.6734
Administrative & Support,Bookkeeping,2022,1,594,0.1684
Administrative & Support,Brand Management,2022,7,594,1.1785
Administrative & Support,Budgeting,2022,13,594,2.1886
Administrative & Support,Business Development,2022,7,594,1.1785
Administrative & Support,Business Intelligence,2022,2,594,0.3367
Administrative & Support,CAD,2022,10,594,1.6835
Administrative & Support,CFA,2022,7,594,1.1785
Administrative & Support,CPA,2022,3,594,0.5051
Administrative & Support,CPR,2022,29,594,4.8822
Administrative & Support,CRM Software,2022,36,594,6.0606
Administrative & Support,CSS,2022,1,594,0.1684
Administrative & Support,Care Coordination,2022,4,594,0.6734
Administrative & Support,Case Management,2022,10,594,1.6835
Administrative & Support,Civil Engineering,2022,4,594,0.6734
Administrative & Support,Classroom Management,2022,3,594,0.5051
Administrative & Support,Cloud Computing,2022,1,594,0.1684
Administrative & Support,Communication Skills,2022,191,594,32.1549
Administrative & Support,Compliance,2022,101,594,17.0034
Administrative & Support,Conflict Resolution,2022,6,594,1.0101
Administrative & Support,Contract Review,2022,2,594,0.3367
Administrative & Support,Copywriting,2022,2,594,0.3367
Administrative & Support,Corporate Law,2022,1,594,0.1684
Administrative & Support,Cost Analysis,2022,1,594,0.1684
Administrative & Support,Creative Thinking,2022,69,594,11.6162
Administrative & Support,Critical Thinking,2022,3,594,0.5051
Administrative & Support,Cross-Functional Collaboration,2022,16,594,2.6936
Administrative & Support,Curriculum Development,2022,2,594,0.3367
Administrative & Support,Customer Service,2022,109,594,18.3502
Administrative & Support,Cybersecurity,2022,10,594,1.6835
Administrative & Support,Data Analysis,2022,26,594,4.3771
Administrative & Support,Data Collection,2022,4,594,0.6734
Administrative & Support,Data Engineering,2022,2,594,0.3367
Administrative & Support,Data Entry,2022,21,594,3.5354
Administrative & Support,Data Visualization,2022,2,594,0.3367
Administrative & Support,Database Management,2022,15,594,2.5253
Administrative & Support,Decision Making,2022,10,594,1.6835
Administrative & Support,Digital Marketing,2022,5,594,0.8418
Administrative & Support,Due Diligence,2022,11,594,1.8519
Administrative & Support,ERP Systems,2022,4,594,0.6734
Administrative & Support,Editing,2022,28,594,4.7138
Administrative & Support,Electrical Engineering,2022,2,594,0.3367
Administrative & Support,Email Marketing,2022,1,594,0.1684
Administrative & Support,Emotional Intelligence,2022,10,594,1.6835
Administrative & Support,Event Planning,2022,20,594,3.367
Administrative & Support,Filing,2022,22,594,3.7037
Administrative & Support,Financial Analysis,2022,16,594,2.6936
Administrative & Support,Financial Planning,2022,7,594,1.1785
Administrative & Support,Financial Statements,2022,2,594,0.3367
Administrative & Support,Forecasting,2022,19,594,3.1987
Administrative & Support,Fundraising,2022,30,594,5.0505
Administrative & Support,GMP,2022,4,594,0.6734
Administrative & Support,Google Analytics,2022,4,594,0.6734
Administrative & Support,Google Workspace,2022,8,594,1.3468
Administrative & Support,Grant Writing,2022,2,594,0.3367
Administrative & Support,HIPAA,2022,3,594,0.5051
Administrative & Support,HRIS,2022,1,594,0.1684
Administrative & Support,HTML,2022,6,594,1.0101
Administrative & Support,Illustrator,2022,3,594,0.5051
Administrative & Support,InDesign,2022,4,594,0.6734
Administrative & Support,Instructional Design,2022,1,594,0.1684
Administrative & Support,Intellectual Property,2022,6,594,1.0101
Administrative & Support,Interpersonal Skills,2022,67,594,11.2795
Administrative & Support,Inventory Management,2022,14,594,2.3569
Administrative & Support,Java,2022,1,594,0.1684
Administrative & Support,JavaScript,2022,2,594,0.3367
Administrative & Support,Jira,2022,1,594,0.1684
Administrative & Support,Kanban,2022,2,594,0.3367
Administrative & Support,LMS,2022,3,594,0.5051
Administrative & Support,Laboratory Skills,2022,1,594,0.1684
Administrative & Support,Leadership,2022,126,594,21.2121
Administrative & Support,Lean,2022,4,594,0.6734
Administrative & Support,LexisNexis,2022,2,594,0.3367
Administrative & Support,Linux,2022,1,594,0.1684
Administrative & Support,Litigation,2022,14,594,2.3569
Administrative & Support,MATLAB,2022,2,594,0.3367
Administrative & Support,Machine Learning,2022,1,594,0.1684
Administrative & Support,Market Research,2022,9,594,1.5152
Administrative & Support,Mechanical Engineering,2022,5,594,0.8418
Administrative & Support,Medical Terminology,2022,1,594,0.1684
Administrative & Support,Mental Health,2022,21,594,3.5354
Administrative & Support,Mentoring,2022,40,594,6.734
Administrative & Support,Mergers and Acquisitions,2022,7,594,1.1785
Administrative & Support,Microsoft Excel,2022,134,594,22.5589
Administrative & Support,Microsoft Office,2022,122,594,20.5387
Administrative & Support,Microsoft PowerPoint,2022,64,594,10.7744
Administrative & Support,Microsoft Teams,2022,4,594,0.6734
Administrative & Support,Microsoft Word,2022,16,594,2.6936
Administrative & Support,Mobile Development,2022,5,594,0.8418
Administrative & Support,Multitasking,2022,38,594,6.3973
Administrative & Support,Negotiation,2022,11,594,1.8519
Administrative & Support,Networking,2022,4,594,0.6734
Administrative & Support,Node.js,2022,1,594,0.1684
Administrative & Support,Nursing,2022,5,594,0.8418
Administrative & Support,OSHA,2022,1,594,0.1684
Administrative & Support,Onboarding,2022,13,594,2.1886
Administrative & Support,Operations Management,2022,10,594,1.6835
Administrative & Support,Oracle,2022,10,594,1.6835
Administrative & Support,Organizational Skills,2022,168,594,28.2828
Administrative & Support,PHP,2022,1,594,0.1684
Administrative & Support,PHR,2022,1,594,0.1684
Administrative & Support,PLC Programming,2022,1,594,0.1684
Administrative & Support,PMP,2022,2,594,0.3367
Administrative & Support,Paralegal Skills,2022,1,594,0.1684
Administrative & Support,Patient Care,2022,22,594,3.7037
Administrative & Support,Payroll,2022,22,594,3.7037
Administrative & Support,Perl,2022,2,594,0.3367
Administrative & Support,Pharmacy,2022,11,594,1.8519
Administrative & Support,Photoshop,2022,6,594,1.0101
Administrative & Support,Physical Therapy,2022,8,594,1.3468
Administrative & Support,Power BI,2022,1,594,0.1684
Administrative & Support,Predictive Modeling,2022,1,594,0.1684
Administrative & Support,Presentation Skills,2022,15,594,2.5253
Administrative & Support,Preventive Maintenance,2022,2,594,0.3367
Administrative & Support,Problem Solving,2022,67,594,11.2795
Administrative & Support,Process Improvement,2022,4,594,0.6734
Administrative & Support,Procurement,2022,18,594,3.0303
Administrative & Support,Project Management,2022,42,594,7.0707
Administrative & Support,Public Relations,2022,15,594,2.5253
Administrative & Support,Python,2022,5,594,0.8418
Administrative & Support,Quality Assurance,2022,20,594,3.367
Administrative & Support,Quality Management Systems,2022,1,594,0.1684
Administrative & Support,Quantitative Analysis,2022,6,594,1.0101
Administrative & Support,QuickBooks,2022,1,594,0.1684
Administrative & Support,Radiology,2022,38,594,6.3973
Administrative & Support,Recruiting,2022,45,594,7.5758
Administrative & Support,Relationship Management,2022,9,594,1.5152
Administrative & Support,Remote Work,2022,10,594,1.6835
Administrative & Support,Reporting,2022,105,594,17.6768
Administrative & Support,Research,2022,15,594,2.5253
Administrative & Support,Risk Management,2022,21,594,3.5354
Administrative & Support,Robotics,2022,3,594,0.5051
Administrative & Support,Root Cause Analysis,2022,3,594,0.5051
Administrative & Support,SAP,2022,19,594,3.1987
Administrative & Support,SDLC,2022,1,594,0.1684
Administrative & Support,SEO,2022,3,594,0.5051
Administrative & Support,SHRM,2022,1,594,0.1684
Administrative & Support,SQL,2022,12,594,2.0202
Administrative & Support,Sales,2022,14,594,2.3569
Administrative & Support,Salesforce,2022,14,594,2.3569
Administrative & Support,Scala,2022,1,594,0.1684
Administrative & Support,Scheduling,2022,76,594,12.7946
Administrative & Support,Scientific Writing,2022,7,594,1.1785
Administrative & Support,Scrum,2022,1,594,0.1684
Administrative & Support,Self-Motivated,2022,162,594,27.2727
Administrative & Support,Series 63,2022,1,594,0.1684
Administrative & Support,Series 7,2022,1,594,0.1684
Administrative & Support,ServiceNow,2022,2,594,0.3367
Administrative & Support,Six Sigma,2022,4,594,0.6734
Administrative & Support,Sketch,2022,1,594,0.1684
Administrative & Support,Slack,2022,1,594,0.1684
Administrative & Support,Social Media,2022,32,594,5.3872
Administrative & Support,Social Media Marketing,2022,2,594,0.3367
Administrative & Support,Special Education,2022,19,594,3.1987
Administrative & Support,Statistical Analysis,2022,9,594,1.5152
Administrative & Support,Strategic Planning,2022,8,594,1.3468
Administrative & Support,Supply Chain Management,2022,9,594,1.5152
Administrative & Support,Survey Design,2022,5,594,0.8418
Administrative & Support,Tableau,2022,2,594,0.3367
Administrative & Support,Teamwork,2022,97,594,16.33
Administrative & Support,Time Management,2022,64,594,10.7744
Administrative & Support,Travel Coordination,2022,1,594,0.1684
Administrative & Support,Tutoring,2022,1,594,0.1684
Administrative & Support,UX Design,2022,3,594,0.5051
Administrative & Support,Underwriting,2022,15,594,2.5253
Administrative & Support,VBA,2022,7,594,1.1785
Administrative & Support,Valuation,2022,7,594,1.1785
Administrative & Support,Verbal Communication,2022,39,594,6.5657
Administrative & Support,Web Development,2022,1,594,0.1684
Administrative & Support,Workday,2022,5,594,0.8418
Administrative & Support,Written Communication,2022,81,594,13.6364
Compliance & Risk,Accounting,2022,10,128,7.8125
Compliance & Risk,Accounts Payable,2022,1,128,0.7812
Compliance & Risk,Accounts Receivable,2022,2,128,1.5625
Compliance & Risk,Adaptability,2022,38,128,29.6875
Compliance & Risk,Agile,2022,1,128,0.7812
Compliance & Risk,Artificial Intelligence,2022,2,128,1.5625
Compliance & Risk,Auditing,2022,19,128,14.8438
Compliance & Risk,AutoCAD,2022,2,128,1.5625
Compliance & Risk,Bookkeeping,2022,1,128,0.7812
Compliance & Risk,Brand Management,2022,1,128,0.7812
Compliance & Risk,Budgeting,2022,1,128,0.7812
Compliance & Risk,CISSP,2022,3,128,2.3438
Compliance & Risk,CPA,2022,2,128,1.5625
Compliance & Risk,Clinical Research,2022,1,128,0.7812
Compliance & Risk,Communication Skills,2022,51,128,39.8438
Compliance & Risk,CompTIA,2022,1,128,0.7812
Compliance & Risk,Compliance,2022,113,128,88.2812
Compliance & Risk,Contract Review,2022,1,128,0.7812
